Year,Make,Model,Type,Seats,Doors
2017,Ford,FIGO,1.5 L POWERSHIFT TREND Hatchback,5,5
2017,Ford,FOCUS,1.5 L  AMBIENTE Estate,5,5
2017,Ford,FOCUS,1.5 L  AMBIENTE Hatchback,5,5
2017,Ford,FOCUS,1.5 L  AMBIENTE Sedan,5,4
2017,Ford,FOCUS,1.5 L  SPORT Hatchback,5,5
2017,Ford,FOCUS,1.5 L  TREND Hatchback,5,5
2017,Ford,FOCUS,1.5 L  TREND Sedan,5,4
2017,Ford,FOCUS,2.0 L MANUAL ST Hatchback,5,5
2017,Ford,MUSTANG,2.3 L  PREMIUM Coupe,4,2
2017,Ford,MUSTANG,3.7 L  STD Convertible,4,2
2017,Ford,MUSTANG,3.7 L  STD Coupe,4,2
2017,Ford,MUSTANG,3.7 L MANUAL STD Coupe,4,2
2017,Ford,MUSTANG,5.0 L  CALIFORNIA SPECIAL Convertible,4,2
2017,Ford,MUSTANG,5.0 L  CALIFORNIA SPECIAL Coupe,4,2
2017,Ford,MUSTANG,5.0 L  GT Coupe,4,2
2017,Ford,MUSTANG,5.0 L  PREMIUM Convertible,4,2
2017,Ford,MUSTANG,5.0 L  PREMIUM Coupe,4,2
2017,Ford,MUSTANG,5.0 L MANUAL PREMIUM Coupe,4,2
2017,Ford,MUSTANG,5.2 L MANUAL SHELBY GT350 Coupe,4,2
2017,Ford,RANGER,2.5 L MANUAL STD HIGH RIDER Pick Up Double Cab,5,4
2017,Ford,RANGER,2.5 L MANUAL STD Pick Up Double Cab,5,4
2017,Ford,RANGER,2.5 L MANUAL XLT HIGH RIDER Pick Up Double Cab,5,4
2017,Ford,RANGER,3.2 L  WILDTRAK Pick Up Double Cab,5,4
2017,Ford,TAURUS,3.5 L  SE Sedan,5,4
2017,Ford,TAURUS,3.5 L  SEL Sedan,5,4
2017,Ford,TAURUS,3.5 L  SHO TOP Sedan,5,4
2017,Geely,EMGRAND GT,3.5 L  ELEGANCE Sedan,5,4
2017,Geely,EMGRAND GT,3.5 L  FLAGSHIP Sedan,5,4
2017,Geely,EMGRAND X7 SPORT,2.4 L  ADVANCE SUV,5,5
2017,Geely,EMGRAND X7 SPORT,2.4 L  ELEGANCE SUV,5,5
2017,Geely,EMGRAND X7 SPORT,2.4 L  FLAGSHIP SUV,5,5
2017,GMC,ACADIA,3.6 L  DENALI SUV,7,5
2017,GMC,ACADIA,3.6 L  SLE SUV,7,5
2017,GMC,ACADIA,3.6 L  SLT1 ALL TERRAIN PK SUV,5,5
2017,GMC,ACADIA,3.6 L  SLT1 SUV,7,5
2017,GMC,SIERRA,5.3 L  1500 CREWCAB SLE Z71 Pick Up Double Cab,5,4
2017,GMC,SIERRA,5.3 L  1500 CREWCAB SLT Pick Up Double Cab,5,4
2017,GMC,SIERRA,5.3 L  1500 EXT CAB SLT Z71 Pick Up Double Cab,5,4
2017,GMC,SIERRA,6.2 L  DENALI Pick Up Double Cab,5,4
2017,GMC,TERRAIN,2.4 L  SLE SUV,5,5
2017,GMC,TERRAIN,2.4 L  SLE2 SUV,5,5
2017,GMC,TERRAIN,3.6 L  DENALI SUV,5,5
2017,GMC,TERRAIN,3.6 L  SLE2 SUV,5,5
2017,GMC,TERRAIN,3.6 L  SLT SUV,5,5
2017,GMC,YUKON,5.3 L  SLE SUV,8,5
2017,GMC,YUKON,5.3 L  SLT SUV,8,5
2017,GMC,YUKON,6.2 L  DENALI COOL BOX/HF TAILGATE SUV,7,5
2017,GMC,YUKON,6.2 L  DENALI COOL BOX/HF TAILGATE SUV,8,5
2017,GMC,YUKON,6.2 L  DENALI PWR STEPS SUV,7,5
2017,GMC,YUKON,6.2 L  DENALI PWR STEPS SUV,8,5
2017,GMC,YUKON,6.2 L  DENALI SUV,8,5
2017,GMC,YUKON XL,5.3 L  SLE SUV,8,5
2017,GMC,YUKON XL,5.3 L  SLT SUV,8,5
2017,GMC,YUKON XL,6.2 L  DENALI COOL BOX/HF TAILGATE SUV,7,5
2017,GMC,YUKON XL,6.2 L  DENALI COOL BOX/HF TAILGATE SUV,8,5
2017,GMC,YUKON XL,6.2 L  DENALI PWR STEPS SUV,7,5
2017,GMC,YUKON XL,6.2 L  DENALI SUV,7,5
2017,GMC,YUKON XL,6.2 L  DENALI SUV,8,5
2017,Honda,ACCORD,2.4 L CVT EX PLUS Sedan,5,4
2017,Honda,ACCORD,2.4 L CVT EX Sedan,5,4
2017,Honda,ACCORD,2.4 L CVT LX PLUS Sedan,5,4
2017,Honda,ACCORD,2.4 L CVT LX Sedan,5,4
2017,Honda,ACCORD,3.5 L  EX Sedan,5,4
2017,Honda,ACCORD,3.5 L  SPORT Sedan,5,4
2017,Honda,CITY,1.5 L  DX Sedan,5,4
2017,Honda,CITY,1.5 L  EXI Sedan,5,4
